Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
405/647	19417.6	9530.5	19417.6	9530.5	6299.11914	52214.14063	367.54828	44.88788	1.02136	4708.44141	57414.96875	101	1	-1	-3	0	0	1388.89614	9.92277	19417.6	9530.5	19417.6	9530.5
405/647	22530.3	10348.1	22530.3	10348.1	4048.68042	16810.30664	260.13052	58.12953	1.19977	5760.20947	21745.76563	101	1	-1	-2	0	0	447.15416	16.05074	22530.3	10348.1	22530.3	10348.1
405/647	12864.0	11118.4	12864.0	11118.4	2346.81812	10956.74512	275.84256	-49.23680	1.11610	10136.98535	11115.35938	101	1	-1	-2	0	0	291.44942	34.62379	12864.0	11118.4	12864.0	11118.4
405/647	10450.6	14995.3	10450.6	14995.3	4988.15576	23727.30469	278.42896	64.93306	1.15490	4912.43896	28749.02344	101	1	-1	-3	0	0	631.14630	12.44563	10450.6	14995.3	10450.6	14995.3
405/647	1297.4	16725.2	1297.4	16725.2	6448.36914	118573.10938	271.52954	76.95454	1.22621	4766.33936	138593.06250	101	4	-1	5	0	0	3154.04471	4.84786	1297.4	16725.2	1297.4	16725.2
405/647	26706.5	17528.6	26706.5	17528.6	2295.74927	6257.79834	210.76999	-12.91319	1.29586	7726.74609	13424.34375	101	1	-1	-3	0	0	166.45744	31.25051	26706.5	17528.6	26706.5	17528.6
405/647	39080.8	18248.4	39080.8	18248.4	3348.35596	56723.10547	348.50348	-46.95409	1.10924	4876.43701	67935.25781	101	3	-1	6	0	0	1508.83461	13.26841	39080.8	18248.4	39080.8	18248.4
405/647	5281.6	19307.0	5281.6	19307.0	2413.58643	8267.81152	236.27844	-35.34069	1.05077	4498.16113	12710.96875	101	1	-1	-3	0	0	219.92379	23.35897	5281.6	19307.0	5281.6	19307.0
405/647	39954.8	20094.6	39954.8	20094.6	2564.91431	10679.77051	260.49823	-64.30531	1.27124	4533.81348	14185.66406	101	1	-1	-5	0	0	284.08190	22.11143	39954.8	20094.6	39954.8	20094.6
405/647	27143.1	20440.5	27143.1	20440.5	2674.52783	11078.58008	259.82367	-6.33244	1.07292	14240.83691	13205.06250	101	1	-1	-2	0	0	294.69023	35.81477	27143.1	20440.5	27143.1	20440.5
405/647	28013.5	20461.5	28013.5	20461.5	3485.46313	12139.78809	238.25143	47.27168	1.15848	18364.27734	10724.06250	101	1	-1	10	0	0	322.91836	31.23329	28013.5	20461.5	28013.5	20461.5
405/647	28576.8	20766.7	28576.8	20766.7	2197.81299	5759.39795	206.65855	41.41208	1.15023	18526.14453	5639.37500	101	1	-1	-3	0	0	153.19999	49.29930	28576.8	20766.7	28576.8	20766.7
405/647	1523.3	22036.1	1523.3	22036.1	5801.75146	95595.37500	300.26288	-0.56223	1.15825	4475.51270	113693.74219	101	4	-1	10	0	0	2542.83697	6.81073	1523.3	22036.1	1523.3	22036.1
405/647	6433.0	23242.7	6433.0	23242.7	4314.98096	49604.81250	335.64200	32.49271	1.21990	4742.94580	59741.71094	101	2	-1	10	0	0	1319.48801	11.64786	6433.0	23242.7	6433.0	23242.7
405/647	20634.7	24853.1	20634.7	24853.1	2575.13867	10505.73047	257.85352	39.10492	1.10146	11662.92578	13023.84375	101	1	-1	-2	0	0	279.45243	33.81244	20634.7	24853.1	20634.7	24853.1
405/647	26579.3	26719.0	26579.3	26719.0	2111.29175	5870.66406	212.87747	-2.78594	1.24554	7020.70313	7723.42188	101	1	-1	10	0	0	156.15966	32.40284	26579.3	26719.0	26579.3	26719.0
405/647	28153.9	26657.5	28153.9	26657.5	3752.34155	37424.61719	297.01508	72.32583	1.20628	5792.05566	48392.20313	101	2	-1	5	0	0	995.49482	13.13702	28153.9	26657.5	28153.9	26657.5
405/647	37495.8	26952.4	37495.8	26952.4	9668.52637	62844.80078	325.47284	28.71726	1.04240	4517.86279	64180.42969	101	1	-1	5	0	0	1671.67170	6.83307	37495.8	26952.4	37495.8	26952.4
405/647	1746.0	27910.1	1746.0	27910.1	2460.46021	6961.86279	214.74091	-78.71056	1.11983	4556.54785	14811.30469	101	1	-1	-2	0	0	185.18555	23.11542	1746.0	27910.1	1746.0	27910.1
405/647	25419.7	27942.4	25419.7	27942.4	9491.84277	61948.62109	326.13754	36.13276	1.13132	7638.37256	61957.68750	101	1	-1	5	0	0	1647.83332	8.32518	25419.7	27942.4	25419.7	27942.4
405/647	13060.0	28574.5	13060.0	28574.5	2026.36450	7392.63525	243.83783	57.37664	1.17810	4585.28857	16817.78906	101	1	-1	10	0	0	196.64410	27.74396	13060.0	28574.5	13060.0	28574.5
405/647	10280.2	29869.1	10280.2	29869.1	3012.43579	27321.12305	384.45950	22.13211	1.28067	4539.08789	29762.80469	101	1	-1	9	0	0	726.74187	18.96949	10280.2	29869.1	10280.2	29869.1
405/647	30098.8	30551.1	30098.8	30551.1	7690.08740	52327.41406	333.01147	-56.72659	1.22756	5195.04736	53396.81250	101	1	-1	6	0	0	1391.90921	8.67199	30098.8	30551.1	30098.8	30551.1
405/647	35437.9	31062.6	35437.9	31062.6	8086.70801	69045.31250	373.02802	-77.86902	1.04318	7092.60889	64950.78125	101	1	-1	-3	0	0	1836.60531	9.29877	35437.9	31062.6	35437.9	31062.6
405/647	32405.9	31791.6	32405.9	31791.6	8649.61133	53642.11719	317.91782	-6.30692	1.04077	5341.91309	57122.17188	101	1	-1	-4	0	0	1426.88032	7.93052	32405.9	31791.6	32405.9	31791.6
405/647	9185.5	835.1	9185.5	835.1	3186.73853	14847.61816	275.55951	1.16299	1.13513	4491.96094	23564.97656	102	1	-1	-4	0	0	394.94664	18.00339	9185.5	835.1	9185.5	835.1
405/647	21046.4	7685.1	21046.4	7685.1	2023.44946	14164.55566	337.76569	-63.07025	1.26145	4507.33496	18457.62500	102	1	-1	8	0	0	376.77718	27.47671	21046.4	7685.1	21046.4	7685.1
405/647	11263.4	8204.1	11263.4	8204.1	24278.98242	435837.68750	305.74036	-31.09370	1.03758	5734.13916	433141.50000	102	3	-1	5	0	0	11593.28249	2.00568	11263.4	8204.1	11263.4	8204.1
405/647	4991.9	8491.2	4991.9	8491.2	6601.43701	28522.23242	265.35834	-34.89534	1.23834	10392.16992	33554.75000	102	1	-1	-5	0	0	758.69138	13.11223	4991.9	8491.2	4991.9	8491.2
405/647	30734.2	9181.8	30734.2	9181.8	2026.34790	7983.78613	253.40062	4.85381	1.00360	4628.51123	12939.21875	102	1	-1	-4	0	0	212.36871	27.84559	30734.2	9181.8	30734.2	9181.8
405/647	18625.2	9828.8	18625.2	9828.8	7761.16113	120376.40625	324.49786	-3.64712	1.15048	5241.81494	124693.25000	102	2	-1	10	0	0	3202.01241	5.23143	18625.2	9828.8	18625.2	9828.8
405/647	12217.2	9849.9	12217.2	9849.9	13484.48047	69839.80469	290.53244	-9.83942	1.03478	6824.61572	72445.60938	102	1	-1	-4	0	0	1857.73880	5.95595	12217.2	9849.9	12217.2	9849.9
405/647	23788.5	11100.2	23788.5	11100.2	2491.20068	10885.58984	266.85901	-46.36642	1.12630	5721.59424	15329.14063	102	1	-1	-2	0	0	289.55669	25.15898	23788.5	11100.2	23788.5	11100.2
405/647	17067.1	12023.9	17067.1	12023.9	4057.97974	57366.99609	329.67905	-60.51633	1.21255	4914.65918	66719.04688	102	2	-1	6	0	0	1525.96210	10.02432	17067.1	12023.9	17067.1	12023.9
405/647	10879.5	13228.8	10879.5	13228.8	2146.23071	5289.80371	200.42033	65.50070	1.16220	5165.21289	11111.67969	102	1	-1	-3	0	0	140.70878	27.79680	10879.5	13228.8	10879.5	13228.8
405/647	6525.1	14951.4	6525.1	14951.4	2120.02393	9162.97461	265.40439	88.08551	1.05692	4627.49854	12867.53906	102	1	-1	-4	0	0	243.73512	26.66456	6525.1	14951.4	6525.1	14951.4
405/647	10086.9	17678.7	10086.9	17678.7	4439.04395	27620.67773	318.44370	47.93201	1.21611	5067.76514	32498.87500	102	1	-1	-7	0	0	734.71003	13.95619	10086.9	17678.7	10086.9	17678.7
405/647	1651.5	18579.9	1651.5	18579.9	2730.39600	8639.59375	227.08794	87.88237	1.02318	4559.14746	17670.31250	102	1	-1	-4	0	0	229.81319	20.96624	1651.5	18579.9	1651.5	18579.9
405/647	13640.4	19973.2	13640.4	19973.2	2165.80981	5436.34570	202.25703	-45.63072	1.03944	4941.05078	10186.73438	102	1	-1	-3	0	0	144.60680	27.01885	13640.4	19973.2	13640.4	19973.2
